date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:00	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jun%202020%2010:30:06%20GMT	http://ayusharma.github.io/robots.txt		(from )
16:00:00	7451/7451	---M-Z	200	added ('OK')	text/html	etag:W/%22588b9d50-1d1b%22	http://ayusharma.github.io/birthday/	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/index.html	(from )
16:00:03	113498/113498	---M-Z	200	added ('OK')	text/css	etag:%221544639646%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/Users/Admin/Desktop/GG/bday/bday-final/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from http://ayusharma.github.io/birthday/)
16:00:03	23501/23501	---M-Z	200	added ('OK')	text/css	etag:W/%22588b9d50-5bcd%22	http://ayusharma.github.io/birthday/stylesheet.css	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/stylesheet.css	(from http://ayusharma.github.io/birthday/)
16:00:04	3136/3136	---M-Z	200	added ('OK')	text/css	etag:W/%22588b9d50-c40%22	http://ayusharma.github.io/birthday/loading.css	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/loading.css	(from http://ayusharma.github.io/birthday/)
16:00:04	5094/5094	---M-Z	200	added ('OK')	text/less	etag:W/%22588b9d50-13e6%22	http://ayusharma.github.io/birthday/cake.less	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/cake.less	(from http://ayusharma.github.io/birthday/)
16:00:04	84806/84806	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22588b9d50-14b46%22	http://ayusharma.github.io/birthday/favicon.ico	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/favicon.ico	(from http://ayusharma.github.io/birthday/)
16:00:07	129024/129024	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4982-1f800%22	http://cdnjs.cloudflare.com/ajax/libs/less.js/2.1.0/less.min.js	C:/Users/Admin/Desktop/GG/bday/bday-final/cdnjs.cloudflare.com/ajax/libs/less.js/2.1.0/less.min.js	(from http://ayusharma.github.io/birthday/)
16:00:15	42535/42535	---M--	200	added ('OK')	image/png	etag:%22588b9d50-a627%22	http://ayusharma.github.io/birthday/banner.png	C:/Users/Admin/Desktop/GG/bday/bday-final/ayusharma.github.io/birthday/banner.png	(from http://ayusharma.github.io/birthday/)
16:00:18	35601/35601	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	C:/Users/Admin/Desktop/GG/bday/bday-final/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/js/bootstrap.min.js	(from http://ayusharma.github.io/birthday/)
